questionID,AnswerKey,examName,schoolGrade,question,subject,bag_question,cleaned_question,cluster,final_cleaned,cluster0
AKDE&ED_2008_4_4,C,Alaska Department of Education & Early Development,4,Which organism needs to make its own food? (A) {Alaska-2008-4-5} (B) {Alaska-2008-4-6} (C) {Alaska-2008-4-7} (D) {Alaska-2008-4-8},Biology,"['food', 'make', 'needs', 'organism']",food make need organism,0,food need organism,0
AKDE&ED_2008_4_31,D,Alaska Department of Education & Early Development,4,Students planted one hundred flower seeds. They observed the growth of their plants once a week. Which tool could be used to record their observations? (A) {Alaska-2008-4-26} (B) {Alaska-2008-4-27} (C) {Alaska-2008-4-28} (D) {Alaska-2008-4-29},Biology,"['could', 'flower', 'growth', 'hundred', 'observations']",could flower growth hundred observation,0,could flower growth hundred observation,0
AKDE&ED_2012_4_9,C,Alaska Department of Education & Early Development,4,Study the data table below. {Alaska-2012-4-10} Two students want to know how temperature affects rubber bands. They decide to test rubber bands inside and outside their school during the winter. The students plan to stretch each rubber band until it breaks. Which set of materials should be used for this test? (A) set 1 (B) set 2 (C) set 3 (D) set 4,Biology,"['bands', 'rubber', 'set', 'students', 'test']",band rubber set student test,0,band rubber set test,0
AKDE&ED_2012_4_24,B,Alaska Department of Education & Early Development,4,The chart shows observations of the Moon. {Alaska-2012-4-22} Which drawing shows how the Moon would most likely appear on day 13? (A) {Alaska-2012-4-23} (B) {Alaska-2012-4-24} (C) {Alaska-2012-4-25} (D) {Alaska-2012-4-26},Biology,"['chart', 'moon', 'observations', 'shows']",chart moon observation show,3,chart moon observation,0
CSZ_2009_5_18,A,California Standards Test,5,A balloon has a negative charge. A glass rod has a positive charge. {California-2009-5-11} What will happen when the glass rod is brought near the balloon? (A) The balloon will be attracted to the rod. (B) The balloon will be repelled by the rod. (C) The balloon will remain in place. (D) The balloon will spin in circles.,Biology,"['attracted', 'balloon', 'charge', 'glass', 'rod']",attract balloon charge glass rod,0,attract balloon charge glass rod,0
CSZ_2009_5_55,A,California Standards Test,5,The diagram below shows a landscape. {California-2009-5-32} Where in the diagram would the air pressure be the greatest? (A) at the beach (B) on top of the mountain (C) at the bottom of the clouds (D) above Earth’s atmosphere,Biology,"['air', 'atmosphere', 'beach', 'bottom', 'diagram']",air atmosphere beach bottom diagram,1,air atmosphere beach bottom,3
CSZ_2009_5_69,B,California Standards Test,5,The picture below shows several different birds. {California-2009-5-36} What characteristic do all birds share? (A) They can fly. (B) They have feathers. (C) They have webbed feet. (D) They eat worms.,Biology,"['birds', 'characteristic', 'different', 'eat', 'feathers']",bird characteristic different eat feather,0,bird characteristic eat feather,0
FCAT_2008_5_3,B,FCAT,5,Roger collected four rock samples and wrote a description of how each was formed. Which of the following rocks that Roger collected is a metamorphic rock? (A) {Florida-2008-5-1} (B) {Florida-2008-5-2} (C) {Florida-2008-5-3} (D) {Florida-2008-5-4},Biology,"['collected', 'description', 'following', 'rock', 'roger']",collect description follow rock roger,0,collect description rock roger,0
MDSA_2007_5_1,A,Maryland School Assessment - Science,5,Fossils are the evidence of organisms that lived long ago. Which of these animals would most likely form a fossil? (A) {Maryland-2007-5-1} (B) {Maryland-2007-5-2} (C) {Maryland-2007-5-3} (D) {Maryland-2007-5-4},Biology,"['ago', 'animals', 'evidence', 'form', 'fossil']",ago animal evidence form fossil,4,ago animal evidence fossil,0
MDSA_2007_5_12,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. {Maryland-2007-5-13} Several students placed a toy truck on a table in front of a plane mirror and viewed the image of the truck in the mirror. Next, the students moved the toy truck to different positions and observed the reflected images of the truck from each position. How does the size of the image of the toy truck compare to the size of the actual toy truck? (A) the image is larger than the actual truck (B) the image is smaller than the actual truck (C) the image is the same size as the actual truck (D) the image size depends on the light behind the toy truck",Biology,"['actual', 'image', 'size', 'toy', 'truck']",actual image size toy truck,0,actual image size toy truck,0
