questionID,AnswerKey,examName,schoolGrade,question,subject
AKDE&ED_2008_4_4,C,Alaska Department of Education & Early Development,4,Which organism needs to make its own food? (A) {Alaska-2008-4-5} (B) {Alaska-2008-4-6} (C) {Alaska-2008-4-7} (D) {Alaska-2008-4-8},Biology
AKDE&ED_2008_4_31,D,Alaska Department of Education & Early Development,4,Students planted one hundred flower seeds. They observed the growth of their plants once a week. Which tool could be used to record their observations? (A) {Alaska-2008-4-26} (B) {Alaska-2008-4-27} (C) {Alaska-2008-4-28} (D) {Alaska-2008-4-29},Biology
AKDE&ED_2012_4_9,C,Alaska Department of Education & Early Development,4,Study the data table below. {Alaska-2012-4-10} Two students want to know how temperature affects rubber bands. They decide to test rubber bands inside and outside their school during the winter. The students plan to stretch each rubber band until it breaks. Which set of materials should be used for this test? (A) set 1 (B) set 2 (C) set 3 (D) set 4,Biology
AKDE&ED_2012_4_24,B,Alaska Department of Education & Early Development,4,The chart shows observations of the Moon. {Alaska-2012-4-22} Which drawing shows how the Moon would most likely appear on day 13? (A) {Alaska-2012-4-23} (B) {Alaska-2012-4-24} (C) {Alaska-2012-4-25} (D) {Alaska-2012-4-26},Biology
CSZ_2009_5_18,A,California Standards Test,5,A balloon has a negative charge. A glass rod has a positive charge. {California-2009-5-11} What will happen when the glass rod is brought near the balloon? (A) The balloon will be attracted to the rod. (B) The balloon will be repelled by the rod. (C) The balloon will remain in place. (D) The balloon will spin in circles.,Biology
CSZ_2009_5_55,A,California Standards Test,5,The diagram below shows a landscape. {California-2009-5-32} Where in the diagram would the air pressure be the greatest? (A) at the beach (B) on top of the mountain (C) at the bottom of the clouds (D) above Earth’s atmosphere,Biology
CSZ_2009_5_69,B,California Standards Test,5,The picture below shows several different birds. {California-2009-5-36} What characteristic do all birds share? (A) They can fly. (B) They have feathers. (C) They have webbed feet. (D) They eat worms.,Biology
FCAT_2008_5_3,B,FCAT,5,Roger collected four rock samples and wrote a description of how each was formed. Which of the following rocks that Roger collected is a metamorphic rock? (A) {Florida-2008-5-1} (B) {Florida-2008-5-2} (C) {Florida-2008-5-3} (D) {Florida-2008-5-4},Biology
MDSA_2007_5_1,A,Maryland School Assessment - Science,5,Fossils are the evidence of organisms that lived long ago. Which of these animals would most likely form a fossil? (A) {Maryland-2007-5-1} (B) {Maryland-2007-5-2} (C) {Maryland-2007-5-3} (D) {Maryland-2007-5-4},Biology
MDSA_2007_5_12,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. {Maryland-2007-5-13} Several students placed a toy truck on a table in front of a plane mirror and viewed the image of the truck in the mirror. Next, the students moved the toy truck to different positions and observed the reflected images of the truck from each position. How does the size of the image of the toy truck compare to the size of the actual toy truck? (A) the image is larger than the actual truck (B) the image is smaller than the actual truck (C) the image is the same size as the actual truck (D) the image size depends on the light behind the toy truck",Biology
MDSA_2007_5_48,D,Maryland School Assessment - Science,5,Each of the animals below belongs to a different group. {Maryland-2007-5-30} Which physical feature classifies all four animals into the same group? (A) the type of skin (B) the number of legs (C) the size of the eyes (D) the location of the mouth,Biology
MDSA_2008_5_8,B,Maryland School Assessment - Science,5,Use the information below to answer the question. Students placed 250 milliliters of water in three identical containers. Container 1 had a tightly sealed lid and was placed on a classroom counter. Container 2 had no lid and was placed on a classroom table. Container 3 had no lid and was placed on a table outside in the shade. The students measured the amount of water in each container at the end of each day for four days. Their results are shown in the data table below. {Maryland-2008-5-1} Which process changes evaporated water into liquid water? (A) competition (B) condensation (C) erosion (D) precipitation,Biology
MDSA_2008_5_21,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. Sunlight enters a room through an open window. The sunlight shines on the wood table, area rug on the floor, and the plane mirror and metal spoon on the table. A spot of light appears on the wall opposite the window. {Maryland-2008-5-5} An image of the ceiling fan appears in the plane mirror on the table. How does the image of the fan in the mirror compare to the actual fan on the ceiling? (A) larger (B) smaller (C) reversed (D) upside down",Biology
MDSA_2009_5_31,A,Maryland School Assessment - Science,5,Two circuits are shown below. The light bulb of Circuit 1 does not glow. The light bulb of Circuit 2 glows. {Maryland-2009-5-16} Which statement best explains why the light bulb of Circuit 1 does not glow? (A) Circuit 1 is an open circuit. (B) Circuit 1 is a closed circuit. (C) The positive terminal of Circuit 1 is connected to the battery. (D) The negative terminal of Circuit 1 is connected to the battery.,Biology
MDSA_2009_5_45,B,Maryland School Assessment - Science,5,Some organisms require little water to live. Which organism is least likely affected by a drought? (A) {Maryland-2009-5-22} (B) {Maryland-2009-5-23} (C) {Maryland-2009-5-24} (D) {Maryland-2009-5-25},Biology
MDSA_2010_5_23,A,Maryland School Assessment - Science,5,"Use the information below to answer the question. Some rocks contain small amounts of iron. These rocks have magnetic properties. The iron particles act like tiny magnets that are attracted by the two oppositely charged magnetic poles of Earth. {Maryland-2010-5-6} A student uses a wand with a magnet on the tip and iron filings to complete pictures. A clear sheet of plastic covers a cardboard picture. Iron filings are between the cardboard picture and the sheet of plastic. As the student moves the wand across the sheet of plastic, the iron filings follow the movement of the wand. {Maryland-2010-5-9} Which change in the design of the toy would allow the student to move more iron filings with the wand at one time? (A) Use a wand with a more powerful magnet. (B) Make the iron filings a different color. (C) Make the sheet of plastic larger. (D) Use a longer wand.",Biology
MDSA_2010_5_26,C,Maryland School Assessment - Science,5,Use the information and table below to answer the question. A group of students investigated natural resources and the products humans make from these natural resources. The students recorded their findings in the table below. {Maryland-2010-5-10} Humans do not use cows (A) for milk (B) for meat (C) to make paper (D) to make leather,Biology
MDSA_2010_5_37,C,Maryland School Assessment - Science,5,"Use the information below to answer the question. The maps below show information about the air quality for one day in June, as reported from different air quality stations. {Maryland-2010-5-18} Which of these activities is the most likely source of poor air quality? (A) grazing cattle (B) planting crops (C) burning tires (D) recycling aluminum",Biology
